no_demande,arrondissement,date_premiere_inspection,statut_demande,nb_logements_inspectes,nb_non_conformite,taux_correction,quartier_de_reference_num,quartier_de_reference_nom,x,y,longitude,latitude
3000127500,"Rosemont - La Petite-Patrie","2008-12","Fermée",45,187,,"18","Vieux-Rosemont",298515.5569998949,5045014.468785744,-73.5804790394,45.545015934829195
3000911800,"Rosemont - La Petite-Patrie","2014-12","Fermée",1,4,,"18","Vieux-Rosemont",298925.4179999007,5045293.593785738,-73.5752336843526,45.547531177580794
3000127288,"Rosemont - La Petite-Patrie","2008-11","Fermée",16,69,,"18","Vieux-Rosemont",298543.853889894,5045078.667060749,-73.5801174882868,45.5455938683896
3000127289,"Rosemont - La Petite-Patrie","2008-11","Fermée",15,77,,"18","Vieux-Rosemont",298515.5569998949,5045014.468785744,-73.5804790394,45.545015934829195
3000127290,"Rosemont - La Petite-Patrie","2008-11","Fermée",16,91,,"18","Vieux-Rosemont",298820.34664490295,5045045.907885741,-73.5765762684767,45.5453015181471
3000127297,"Rosemont - La Petite-Patrie","2008-12","Fermée",10,58,,"18","Vieux-Rosemont",298515.5569998949,5045014.468785744,-73.5804790394,45.545015934829195
3000127442,"Rosemont - La Petite-Patrie","2008-11","Fermée",15,61,,"18","Vieux-Rosemont",298515.5569998949,5045014.468785744,-73.5804790394,45.545015934829195
3000127464,"Rosemont - La Petite-Patrie","2008-11","Fermée",10,48,,"18","Vieux-Rosemont",298543.853889894,5045078.667060749,-73.5801174882868,45.5455938683896
3000127486,"Rosemont - La Petite-Patrie","2008-11","Fermée",38,126,,"18","Vieux-Rosemont",298515.5569998949,5045014.468785744,-73.5804790394,45.545015934829195
3000127487,"Rosemont - La Petite-Patrie","2008-12","Fermée",5,26,,"18","Vieux-Rosemont",298515.5569998949,5045014.468785744,-73.5804790394,45.545015934829195
3000127517,"Rosemont - La Petite-Patrie","2008-11","Fermée",16,120,,"18","Vieux-Rosemont",298543.853889894,5045078.667060749,-73.5801174882868,45.5455938683896
3000127519,"Rosemont - La Petite-Patrie","2008-11","Fermée",16,86,,"18","Vieux-Rosemont",298515.5569998949,5045014.468785744,-73.5804790394,45.545015934829195
3000127524,"Rosemont - La Petite-Patrie","2008-11","Fermée",16,115,,"18","Vieux-Rosemont",298515.5569998949,5045014.468785744,-73.5804790394,45.545015934829195
3000127554,"Rosemont - La Petite-Patrie","2008-12","Fermée",15,111,,"18","Vieux-Rosemont",298745.72499989823,5044875.801785752,-73.5775297786582,45.5437701982556
3000127555,"Rosemont - La Petite-Patrie","2008-11","Fermée",16,93,,"18","Vieux-Rosemont",298543.853889894,5045078.667060749,-73.5801174882868,45.5455938683896
3000127560,"Rosemont - La Petite-Patrie","2008-11","Fermée",16,78,,"18","Vieux-Rosemont",298543.853889894,5045078.667060749,-73.5801174882868,45.5455938683896
3000127561,"Rosemont - La Petite-Patrie","2008-11","Fermée",15,56,,"18","Vieux-Rosemont",298543.853889894,5045078.667060749,-73.5801174882868,45.5455938683896
3000127563,"Rosemont - La Petite-Patrie","2008-11","Fermée",16,127,,"18","Vieux-Rosemont",298745.72499989823,5044875.801785752,-73.5775297786582,45.5437701982556
3001115350,"Rosemont - La Petite-Patrie","2016-01","Fermée",2,21,,"18","Vieux-Rosemont",299518.04308491707,5046216.074810727,-73.5676541095172,45.5558367282141
3001840154,"Rosemont - La Petite-Patrie","2020-09","Fermée",42,331,,"18","Vieux-Rosemont",298690.2629998958,5044799.072785752,-73.5782390550539,45.543079279010996
3002370534,"Rosemont - La Petite-Patrie","2020-10","Fermée",16,157,,"18","Vieux-Rosemont",298515.5569998949,5045014.468785744,-73.5804790394,45.545015934829195
3003097639,"Rosemont - La Petite-Patrie","2021-12","Fermée",0,0,,"18","Vieux-Rosemont",299272.19076491013,5046154.910835724,-73.5708024230844,45.55528444560629
3003235176,"Rosemont - La Petite-Patrie","2023-01","Étude",25,133,0.432,"18","Vieux-Rosemont",299360.54299990786,5046367.166785716,-73.5696731329181,45.5571950924737
3003287660,"Rosemont - La Petite-Patrie","2023-07","Étude",0,0,0,"18","Vieux-Rosemont",298598.65799989743,5045724.478785736,-73.5794238401597,45.5514055981847
3001214585,"Rosemont - La Petite-Patrie","2017-01","Fermée",1,46,,"18","Vieux-Rosemont",298734.0579998984,5045520.969785733,-73.5776871800937,45.5495755461295
3000132000,"Saint-Léonard","2007-12","Fermée",14,152,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000131781,"Saint-Léonard","2008-01","Fermée",21,180,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000131796,"Saint-Léonard","2007-12","Fermée",21,302,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000131802,"Saint-Léonard","2007-12","Fermée",21,222,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000131823,"Saint-Léonard","2008-01","Fermée",21,184,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000131844,"Saint-Léonard","2007-12","Fermée",21,235,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000131857,"Saint-Léonard","2007-12","Fermée",19,155,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000131871,"Saint-Léonard","2007-12","Fermée",14,175,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000131880,"Saint-Léonard","2008-01","Fermée",14,209,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000131903,"Saint-Léonard","2007-12","Fermée",14,207,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000131907,"Saint-Léonard","2007-12","Fermée",14,203,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000131915,"Saint-Léonard","2007-12","Fermée",14,183,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000131924,"Saint-Léonard","2008-01","Fermée",13,133,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000131929,"Saint-Léonard","2007-12","Fermée",14,127,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000131938,"Saint-Léonard","2008-01","Fermée",14,126,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000131956,"Saint-Léonard","2007-12","Fermée",14,169,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000131983,"Saint-Léonard","2007-12","Fermée",14,156,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000131993,"Saint-Léonard","2008-01","Fermée",0,19,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000132006,"Saint-Léonard","2007-12","Fermée",14,148,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000132024,"Saint-Léonard","2008-01","Fermée",14,184,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000132032,"Saint-Léonard","2007-12","Fermée",14,122,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000239193,"Saint-Léonard","2010-07","Fermée",0,2,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000243780,"Saint-Léonard","2010-08","Fermée",1,8,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000246072,"Saint-Léonard","2010-08","Fermée",0,0,,"62","Port-Maurice",296604.91099986667,5049391.921785661,-73.60502024481531,45.5843857890245
3000502694,"Saint-Léonard","2012-04","Fermée",3,5,,"62","Port-Maurice",296604.91099986667,5049391.921785661,-73.60502024481531,45.5843857890245
3000510219,"Saint-Léonard","2014-03","Fermée",0,0,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000656602,"Saint-Léonard","2012-11","Fermée",0,1,,"62","Port-Maurice",296604.91099986667,5049391.921785661,-73.60502024481531,45.5843857890245
3000656682,"Saint-Léonard","2012-11","Fermée",0,1,,"62","Port-Maurice",296604.91099986667,5049391.921785661,-73.60502024481531,45.5843857890245
3000656782,"Saint-Léonard","2012-11","Fermée",0,1,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000708077,"Saint-Léonard","2013-07","Fermée",1,2,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000708101,"Saint-Léonard","2013-07","Fermée",1,4,,"62","Port-Maurice",296604.91099986667,5049391.921785661,-73.60502024481531,45.5843857890245
3000708108,"Saint-Léonard","2013-07","Fermée",1,2,,"62","Port-Maurice",296604.91099986667,5049391.921785661,-73.60502024481531,45.5843857890245
3000708113,"Saint-Léonard","2013-07","Fermée",4,18,,"62","Port-Maurice",296604.91099986667,5049391.921785661,-73.60502024481531,45.5843857890245
3000708120,"Saint-Léonard","2013-07","Fermée",1,1,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000886079,"Saint-Léonard","2014-09","Fermée",12,71,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000892404,"Saint-Léonard","2014-09","Fermée",14,119,,"62","Port-Maurice",296604.91099986667,5049391.921785661,-73.60502024481531,45.5843857890245
3000892407,"Saint-Léonard","2014-09","Fermée",14,74,,"62","Port-Maurice",296604.91099986667,5049391.921785661,-73.60502024481531,45.5843857890245
3000892416,"Saint-Léonard","2014-09","Fermée",14,65,,"62","Port-Maurice",296604.91099986667,5049391.921785661,-73.60502024481531,45.5843857890245
3000892419,"Saint-Léonard","2014-09","Fermée",13,80,,"62","Port-Maurice",296604.91099986667,5049391.921785661,-73.60502024481531,45.5843857890245
3000892425,"Saint-Léonard","2014-09","Fermée",14,174,,"62","Port-Maurice",296604.91099986667,5049391.921785661,-73.60502024481531,45.5843857890245
3000892433,"Saint-Léonard","2014-09","Fermée",14,137,,"62","Port-Maurice",296604.91099986667,5049391.921785661,-73.60502024481531,45.5843857890245
3000892436,"Saint-Léonard","2014-09","Fermée",13,94,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000892442,"Saint-Léonard","2014-09","Fermée",21,98,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3000892460,"Saint-Léonard","2014-09","Fermée",20,112,,"62","Port-Maurice",296562.9504198611,5049109.211560664,-73.6055532023798,45.58184138531959
3001065665,"Saint-Léonard","2015-10","Fermée",5,83,,"62","Port-Maurice",296129.4796198575,5050022.442485641,-73.6111240913624,45.59005362740849
3001140303,"Saint-Léonard","2016-06","Fermée",1,19,,"62","Port-Maurice",296487.9339998648,5048768.209785672,-73.6065086926162,45.57877205936919
3003228982,"Saint-Léonard","2022-11","Fermée",0,0,,"62","Port-Maurice",297236.9749998731,5047935.1037856825,-73.5968977935014,45.57128406419321
3003236393,"Saint-Léonard","2022-12","Fermée",0,0,,"62","Port-Maurice",297769.5354148852,5048735.969760671,-73.590086137541,45.5784960846227
3000892400,"Saint-Léonard","2014-09","Fermée",13,70,,"62","Port-Maurice",296604.91099986667,5049391.921785661,-73.60502024481531,45.5843857890245
3000571062,"Saint-Léonard","2012-08","Fermée",0,6,,"62","Port-Maurice",296604.91099986667,5049391.921785661,-73.60502024481531,45.5843857890245
3000672965,"Saint-Léonard","2013-01","Fermée",0,1,,"62","Port-Maurice",296751.1717748677,5049176.449310656,-73.6031423623864,45.58244861324829
3000677723,"Saint-Léonard","2013-02","Fermée",0,2,,"62","Port-Maurice",296604.91099986667,5049391.921785661,-73.60502024481531,45.5843857890245
3000678002,"Saint-Léonard","2013-02","Fermée",0,1,,"62","Port-Maurice",296604.91099986667,5049391.921785661,-73.60502024481531,45.5843857890245
3000708090,"Saint-Léonard","2013-07","Fermée",2,6,,"62","Port-Maurice",296446.4669998585,5049183.165785657,-73.6070471345628,45.5825054578913
3000708091,"Saint-Léonard","2013-07","Fermée",0,0,,"62","Port-Maurice",296446.4669998585,5049183.165785657,-73.6070471345628,45.5825054578913
3000708093,"Saint-Léonard","2013-07","Fermée",2,9,,"62","Port-Maurice",296604.91099986667,5049391.921785661,-73.60502024481531,45.5843857890245
3000708114,"Saint-Léonard","2013-07","Fermée",2,8,,"62","Port-Maurice",296751.1717748677,5049176.449310656,-73.6031423623864,45.58244861324829
3000886082,"Saint-Léonard","2014-09","Fermée",12,68,,"62","Port-Maurice",296446.4669998585,5049183.165785657,-73.6070471345628,45.5825054578913
3000886085,"Saint-Léonard","2014-08","Fermée",19,123,,"62","Port-Maurice",296751.1717748677,5049176.449310656,-73.6031423623864,45.58244861324829
3000892355,"Saint-Léonard","2014-09","Fermée",14,88,,"62","Port-Maurice",296446.4669998585,5049183.165785657,-73.6070471345628,45.5825054578913
3000892374,"Saint-Léonard","2014-09","Fermée",14,103,,"62","Port-Maurice",296446.4669998585,5049183.165785657,-73.6070471345628,45.5825054578913
3000892381,"Saint-Léonard","2014-09","Fermée",14,143,,"62","Port-Maurice",296446.4669998585,5049183.165785657,-73.6070471345628,45.5825054578913
3000892389,"Saint-Léonard","2014-09","Fermée",11,75,,"62","Port-Maurice",296446.4669998585,5049183.165785657,-73.6070471345628,45.5825054578913
3000892397,"Saint-Léonard","2014-09","Fermée",13,96,,"62","Port-Maurice",296604.91099986667,5049391.921785661,-73.60502024481531,45.5843857890245
3000892447,"Saint-Léonard","2014-09","Fermée",20,142,,"62","Port-Maurice",296751.1717748677,5049176.449310656,-73.6031423623864,45.58244861324829
3000892451,"Saint-Léonard","2014-09","Fermée",20,158,,"62","Port-Maurice",296751.1717748677,5049176.449310656,-73.6031423623864,45.58244861324829
3000892455,"Saint-Léonard","2014-09","Fermée",20,112,,"62","Port-Maurice",296751.1717748677,5049176.449310656,-73.6031423623864,45.58244861324829
3000135100,"Verdun","2009-04","Fermée",3,24,,"64","Verdun-Centre",299236.06330991205,5036131.420260935,-73.5711514231791,45.4650886600589
3000132528,"Verdun","2009-03","Fermée",35,236,,"64","Verdun-Centre",299221.10126490495,5035896.1698109405,-73.5713400870923,45.4629716430739
3000135093,"Verdun","2009-04","Fermée",5,38,,"64","Verdun-Centre",298882.1973848993,5035917.432010941,-73.5756740678406,45.46316018187109
3000135096,"Verdun","2009-04","Fermée",13,101,,"64","Verdun-Centre",298882.1973848993,5035917.432010941,-73.5756740678406,45.46316018187109
3000135097,"Verdun","2009-04","Fermée",0,1,,"64","Verdun-Centre",298882.1973848993,5035917.432010941,-73.5756740678406,45.46316018187109
3000135098,"Verdun","2009-05","Fermée",9,45,,"64","Verdun-Centre",298882.1973848993,5035917.432010941,-73.5756740678406,45.46316018187109
3000135102,"Verdun","2009-04","Fermée",2,11,,"64","Verdun-Centre",299236.06330991205,5036131.420260935,-73.5711514231791,45.4650886600589
3000135106,"Verdun","2009-04","Fermée",5,32,,"64","Verdun-Centre",299321.83150991227,5036126.018710931,-73.5700545631374,45.4650407322196
3000135108,"Verdun","2009-04","Fermée",4,51,,"64","Verdun-Centre",299236.06330991205,5036131.420260935,-73.5711514231791,45.4650886600589
3000135110,"Verdun","2009-05","Fermée",1,10,,"64","Verdun-Centre",299236.06330991205,5036131.420260935,-73.5711514231791,45.4650886600589
3000135112,"Verdun","2009-04","Fermée",13,58,,"64","Verdun-Centre",298897.4605349,5036152.748910931,-73.5754817158025,45.4652778063339
3000135113,"Verdun","2009-05","Fermée",2,24,,"64","Verdun-Centre",299236.06330991205,5036131.420260935,-73.5711514231791,45.4650886600589
3000135114,"Verdun","2009-05","Fermée",1,17,,"64","Verdun-Centre",299236.06330991205,5036131.420260935,-73.5711514231791,45.4650886600589
3000135115,"Verdun","2009-05","Fermée",24,178,,"64","Verdun-Centre",299575.0192349143,5036110.60043593,-73.5668166486886,45.46490393089859
3000135117,"Verdun","2009-04","Fermée",0,0,,"64","Verdun-Centre",299575.0192349143,5036110.60043593,-73.5668166486886,45.46490393089859
3000135118,"Verdun","2009-04","Fermée",15,35,,"64","Verdun-Centre",299236.06330991205,5036131.420260935,-73.5711514231791,45.4650886600589
3000135119,"Verdun","2009-04","Fermée",25,77,,"64","Verdun-Centre",299236.06330991205,5036131.420260935,-73.5711514231791,45.4650886600589
3000135120,"Verdun","2009-04","Fermée",22,115,,"64","Verdun-Centre",299158.477199908,5035603.676860946,-73.5721375342175,45.4603391456556
3000135121,"Verdun","2009-04","Fermée",25,65,,"64","Verdun-Centre",299202.17375490756,5035600.883110949,-73.57157875978491,45.4603143576152
3000135124,"Verdun","2009-04","Fermée",19,78,,"64","Verdun-Centre",298983.1004249069,5036147.248335936,-73.5743864881306,45.4652290279388
3000135127,"Verdun","2009-04","Fermée",19,86,,"64","Verdun-Centre",298983.1004249069,5036147.248335936,-73.5743864881306,45.4652290279388
3000135134,"Verdun","2009-04","Fermée",19,110,,"64","Verdun-Centre",298983.1004249069,5036147.248335936,-73.5743864881306,45.4652290279388
3000135135,"Verdun","2009-05","Fermée",15,175,,"64","Verdun-Centre",298644.62499989785,5036168.499785937,-73.5787151726321,45.4654173579954
3000135136,"Verdun","2009-05","Fermée",15,147,,"64","Verdun-Centre",298644.62499989785,5036168.499785937,-73.5787151726321,45.4654173579954
3000135138,"Verdun","2009-05","Fermée",0,5,,"64","Verdun-Centre",299649.5819999123,5036261.810785926,-73.5658647309911,45.466265148511795
3000135140,"Verdun","2009-04","Fermée",19,166,,"64","Verdun-Centre",298797.08445490175,5035922.785285943,-73.5767625162305,45.4632076270157
