ID_TRC,PROPRIETAIRE_REF,CODE_ARR,FORME,RUELLE_ID,DATE_AMENAGEMENT,DATE_BONIFICATION,CIRCULATION,TYPE_AMENAGEMENT,TYPE_RECOUVREMENT,SUPERFICIE_RUELLE_M2,SUPERFICIE_VERDISSEMENT_M2,NUMERO_DE_RESOLUTION,DATE_MAJ
403365,"Plateau - Mont-Royal","PMR","A","PMR-A-1000079","20170901",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",218.545,"4.7",,"20191113"
403654,"Plateau - Mont-Royal","PMR","I","PMR-I-1000015","20000801",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",389.287,,,"20191115"
403734,"Plateau - Mont-Royal","PMR","H","PMR-H-1000026","20030801",20130801,"Fermée","Mobilier","Asphalté ou bétonnée",133.025,,,"20191114"
403969,"Plateau - Mont-Royal","PMR","H","PMR-H-1000026","20030801",20130801,"Ouverte","Mobilier","Asphalté ou bétonnée",154.281,"0",,"20191114"
404149,"Plateau - Mont-Royal","PMR","H","PMR-H-1000077","20190914",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",104.165,"8.78",,"20191113"
404077,"Plateau - Mont-Royal","PMR","H","PMR-H-1000077","20190914",,"Ouverte","Mobilier","Asphalté ou bétonnée",101.04,"1",,"20191107"
405924,"Verdun","VRD","H","VRD-H-1020122","20120922",,"Ouverte","Plates-bandes","Asphalté ou bétonnée",148.968,,,"20201126"
406078,"Verdun","VRD","H","VRD-H-1020122","20120922",,"Ouverte","Plates-bandes","Asphalté ou bétonnée",199.863,,,"20201126"
404091,"Plateau - Mont-Royal","PMR","H","PMR-H-1000056","20150801",,"Fermée","Plates-bandes","Végétalisée",104.008,"77.79",,"20191113"
403216,"Rosemont - La Petite-Patrie","RPP","I","RPP-I-1000071","20150701",,"Partiellement fermée","Plates-bandes et mobilier","Asphalté ou bétonnée",285.167,,,"20191127"
401460,"Mercier - Hochelaga-Maisonneuve","MHM","A","MHM-A-1000033",,,"Ouverte",,"Asphalté ou bétonnée",169.723,"0",,"20191112"
403784,"Plateau - Mont-Royal","PMR","H","PMR-H-1000056","20150801",,"Ouverte","Plates-bandes","Asphalté ou bétonnée",83.618,"9.7",,"20191113"
403850,"Mercier - Hochelaga-Maisonneuve","MHM","I","MHM-I-1000011","20120701",,"Ouverte","Mobilier",,1285.898,"22",,"20191112"
404010,"Plateau - Mont-Royal","PMR","H","PMR-H-1000083","20210801",,"Fermée",,"Végétalisée",97.857,,,"20201127"
404152,"Plateau - Mont-Royal","PMR","J","PMR-J-1000012","19990801",20180801,"Fermée","Plates-bandes","Végétalisée",104.525,"31.64",,"20191114"
403857,"Plateau - Mont-Royal","PMR","A","PMR-A-1000023","20010801",20160801,"Fermée","Plates-bandes","Végétalisée",89.006,"89",,"20191114"
403738,"Plateau - Mont-Royal","PMR","T","PMR-T-1000014","20000801",,"Ouverte","Mobilier","Asphalté ou bétonnée",133.334,,,"20191115"
406085,"Verdun","VRD","H","VRD-H-1020111","20110529",,"Ouverte","Plates-bandes","Asphalté ou bétonnée",202.558,,,"20201126"
404684,"Villeray - St-Michel - Parc-Extension","VSMPE","H","VSMPE-H-1200008","20160701",20200701,"Fermeture saisonnière","Plates-bandes et marquage au sol","Asphalté ou bétonnée",694.526,"1.11",,"20201124"
404741,"Villeray - St-Michel - Parc-Extension","VSMPE","I","VSMPE-I-1100013","20170701",,"Ouverte",,,707.512,,,"20191022"
405540,"Villeray - St-Michel - Parc-Extension","VSMPE","H","VSMPE-H-1300018","20200701",,"Fermeture saisonnière","Plates-bandes et mobilier","Gazonnée",475.01,"9.7",,"20201124"
402751,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000032","20130701",,"Ouverte","Mobilier","Asphalté ou bétonnée",96.677,,,"20191202"
402820,"Rosemont - La Petite-Patrie","RPP","T","RPP-T-1000004","20110107",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",97.005,,,"20191115"
403562,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000044","20130701",,"Ouverte","Mobilier","Asphalté ou bétonnée",90.038,,,"20191202"
403563,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000042","20130701",,"Ouverte","Mobilier","Asphalté ou bétonnée",90.09,,,"20191202"
403617,"Rosemont - La Petite-Patrie","RPP","T","RPP-T-1000049","20140701",,"Ouverte","Mobilier",,90.326,,,"20191126"
403062,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000104","20180701",,"Partiellement fermée","Mobilier","Asphalté ou bétonnée",135.883,,,"20191129"
402412,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000097","20170701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",116.552,,,"20191128"
403070,"Rosemont - La Petite-Patrie","RPP","F","RPP-F-1000092","20160701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",137.482,,,"20191128"
402393,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000014","20110701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",422.468,,,"20191129"
402394,"Rosemont - La Petite-Patrie","RPP","L","RPP-L-1000037","20130701",,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",429.638,,,"20191202"
402727,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000061","20140701",20201028,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",169.808,"17",,"20201130"
402728,"Rosemont - La Petite-Patrie","RPP","T","RPP-T-1000118","20130701",,"Partiellement fermée","Marquage au sol","Asphalté ou bétonnée",169.927,,,"20191202"
407005,"Verdun","VRD","J","VRD-J-1020141","20140531",,"Ouverte","Plates-bandes","Asphalté ou bétonnée",154.229,,,"20201204"
405081,"Villeray - St-Michel - Parc-Extension","VSMPE","H","VSMPE-H-1100023","20190701",,"Ouverte","Mobilier et marquage au sol","Asphalté ou bétonnée",181.928,"1.6",,"20191022"
